"districtid";"districtname";"stateid"
1;"Nicobar";1
2;"North And Middle Andaman";1
3;"South Andaman";1
4;"Alluri Sitharama Raju";2
5;"Anakapalli";2
6;"Ananthapuramu";2
7;"Annamayya";2
8;"Bapatla";2
9;"Chittoor";2
10;"Dr BR Ambedkar Konaseema";2
11;"East Godavari";2
12;"Eluru";2
13;"Guntur";2
14;"Kakinada";2
15;"Krishna";2
16;"Kurnool";2
17;"Nandyal";2
18;"NTR";2
19;"Palnadu";2
20;"Parvathipuram Manyam";2
21;"Prakasam";2
22;"Sri Potti Sriramulu Nellore";2
23;"Sri Sathyasai";2
24;"Srikakulam";2
25;"Tirupati";2
26;"Visakhapatnam";2
27;"Vizianagaram";2
28;"West Godavari";2
29;"YSR";2
30;"Anjaw";3
31;"Changlang";3
32;"Dibang Valley";3
33;"East Kameng";3
34;"East Siang";3
35;"Itanagar Capital Complex";3
36;"Kamle";3
37;"Kra Daadi";3
38;"Kurung Kumey";3
39;"Lepa Rada";3
40;"Lohit";3
41;"Longding";3
42;"Lower Dibang Valley";3
43;"Lower Subansiri";3
44;"Namsai";3
45;"Papum Pare";3
46;"Siang";3
47;"Tawang";3
48;"Tirap";3
49;"Upper Siang";3
50;"Upper Subansiri";3
51;"West Kameng";3
52;"West Siang";3
53;"Bajali";4
54;"Baksa";4
55;"Barpeta";4
56;"Biswanath";4
57;"Bongaigaon";4
58;"Cachar";4
59;"Charaideo";4
60;"Chirang";4
61;"Darrang";4
62;"Dhemaji";4
63;"Dhubri";4
64;"Dibrugarh";4
65;"Dima Hasao";4
66;"Goalpara";4
67;"Golaghat";4
68;"Hailakandi";4
69;"Hojai";4
70;"Jorhat";4
71;"Kamrup";4
72;"Kamrup Metropolitan";4
73;"Karbi Anglong";4
74;"Karimganj";4
75;"Kokrajhar";4
76;"Lakhimpur";4
77;"Majuli";4
78;"Morigaon";4
79;"Nagaon";4
80;"Nalbari";4
81;"Sivasagar";4
82;"Sonitpur";4
83;"South Salmara Mankachar";4
84;"Tinsukia";4
85;"Udalguri";4
86;"West Karbi Anglong";4
87;"Araria";5
88;"Arwal";5
89;"Aurangabad";5
90;"Banka";5
91;"Begusarai";5
92;"Bhagalpur";5
93;"Bhojpur";5
94;"Buxar";5
95;"Darbhanga";5
96;"Gaya";5
97;"Gopalganj";5
98;"Jamui";5
99;"Jehanabad";5
100;"Kaimur";5
101;"Katihar";5
102;"Khagaria";5
103;"Kishanganj";5
104;"Lakhisarai";5
105;"Madhepura";5
106;"Madhubani";5
107;"Munger";5
108;"Muzaffarpur";5
109;"Nalanda";5
110;"Nawada";5
111;"Pashchim Champaran";5
112;"Patna";5
113;"Purbi Champaran";5
114;"Purnea";5
115;"Rohtas";5
116;"Saharsa";5
117;"Samastipur";5
118;"Saran";5
119;"Sheikhpura";5
120;"Sheohar";5
121;"Sitamarhi";5
122;"Siwan";5
123;"Supaul";5
124;"Vaishali";5
125;"Chandigarh";6
126;"Balod";7
127;"Balodabazar Bhatapara";7
128;"Balrampur Ramanujganj";7
129;"Bastar";7
130;"Bemetara";7
131;"Bijapur";7
132;"Bilaspur";7
133;"Dantewada";7
134;"Dhamtari";7
135;"Durg";7
136;"Gariaband";7
137;"Gaurela Pendra Marwahi";7
138;"Janjgir Champa";7
139;"Jashpur";7
140;"Kabirdham";7
141;"Khairagarh Chhuikhadan Gandai";7
142;"Kondagaon";7
143;"Korba";7
144;"Korea";7
145;"Mahasamund";7
146;"Manendragarh Chirmiri Bharatpur";7
147;"Mohla Manpur Ambagarh Chouki";7
148;"Mungeli";7
149;"Narayanpur";7
150;"North Bastar Kanker";7
151;"Raigarh";7
152;"Raipur";7
153;"Rajnandgaon";7
154;"Sakti";7
155;"Sarangarh Bilaigarh";7
156;"Sukma";7
157;"Surajpur";7
158;"Surguja";7
159;"Dadra And Nagar Haveli";8
160;"Daman";8
161;"Diu";8
162;"New Delhi";9
163;"North Goa";10
164;"South Goa";10
165;"Ahmedabad";11
166;"Amreli";11
167;"Anand";11
168;"Aravalli";11
169;"Banaskantha";11
170;"Bharuch";11
171;"Bhavnagar";11
172;"Botad";11
173;"Chhotaudepur";11
174;"Dahod";11
175;"Dangs";11
176;"Devbhumi Dwarka";11
177;"Gandhinagar";11
178;"Gir Somnath";11
179;"Jamnagar";11
180;"Junagadh";11
181;"Kachchh";11
182;"Kheda";11
183;"Mahesana";11
184;"Mahisagar";11
185;"Morbi";11
186;"Narmada";11
187;"Navsari";11
188;"Panchmahals";11
189;"Patan";11
190;"Porbandar";11
191;"Rajkot";11
192;"Sabarkantha";11
193;"Surat";11
194;"Surendranagar";11
195;"Tapi";11
196;"Vadodara";11
197;"Valsad";11
198;"Ambala";12
199;"Bhiwani";12
200;"Charkhi Dadri";12
201;"Faridabad";12
202;"Fatehabad";12
203;"Gurugram";12
204;"Hisar";12
205;"Jhajjar";12
206;"Jind";12
207;"Kaithal";12
208;"Karnal";12
209;"Kurukshetra";12
210;"Mahendragarh";12
211;"Nuh";12
212;"Palwal";12
213;"Panchkula";12
214;"Panipat";12
215;"Rewari";12
216;"Rohtak";12
217;"Sirsa";12
218;"Sonipat";12
219;"Yamunanagar";12
220;"Bilaspur";13
221;"Chamba";13
222;"Hamirpur";13
223;"Kangra";13
224;"Kinnaur";13
225;"Kullu";13
226;"Lahaul And Spiti";13
227;"Mandi";13
228;"Shimla";13
229;"Sirmaur";13
230;"Solan";13
231;"Una";13
232;"Anantnag";14
233;"Bandipore";14
234;"Baramulla";14
235;"Budgam";14
236;"Doda";14
237;"Ganderbal";14
238;"Jammu";14
239;"Kathua";14
240;"Kishtwar";14
241;"Kulgam";14
242;"Kupwara";14
243;"Poonch";14
244;"Pulwama";14
245;"Rajouri";14
246;"Ramban";14
247;"Reasi";14
248;"Samba";14
249;"Shopian";14
