"stateid";"statename";"countryid"
1;"Andaman & Nicobar Islands";101
2;"Andhra Pradesh";101
3;"Arunachal Pradesh";101
4;"Assam";101
5;"Bihar";101
6;"Chandigarh";101
7;"Chhattisgarh";101
8;"Dadra & Nagar Haveli & Daman & Diu";101
9;"Delhi";101
10;"Goa";101
11;"Gujarat";101
12;"Haryana";101
13;"Himachal Pradesh";101
14;"Jammu & Kashmir";101
15;"Jharkhand";101
16;"Karnataka";101
17;"Kerala";101
18;"Ladakh";101
19;"Lakshadweep";101
20;"Madhya Pradesh";101
21;"Maharashtra";101
22;"Manipur";101
23;"Meghalaya";101
24;"Mizoram";101
25;"Nagaland";101
26;"Odisha";101
27;"Puducherry";101
28;"Punjab";101
29;"Rajasthan";101
30;"Sikkim";101
31;"Tamil Nadu";101
32;"Telangana";101
33;"Tripura";101
34;"Uttar Pradesh";101
35;"Uttarakhand";101
36;"West Bengal";101
